"filename", "language", "TypeScript JSX", "TypeScript", "SCSS", "XML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\README.md", "Markdown", 0, 0, 0, 0, 0, -8, 0, -4, -12
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\package.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\edit.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\search.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\charts\EquityChart.tsx", "TypeScript JSX", -120, 0, 0, 0, 0, 0, -1, -3, -124
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\modals\day.tsx", "TypeScript JSX", -18, 0, 0, 0, 0, 0, 0, -2, -20
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\modals\newTrade.tsx", "TypeScript JSX", -110, 0, 0, 0, 0, 0, 0, -6, -116
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\modals\notes.tsx", "TypeScript JSX", -92, 0, 0, 0, 0, 0, 0, -5, -97
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\modals\trade.tsx", "TypeScript JSX", -59, 0, 0, 0, 0, 0, 0, -2, -61
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\widgets\calculator\calculator.tsx", "TypeScript JSX", -51, 0, 0, 0, 0, 0, 0, -3, -54
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\widgets\current\currentDay.tsx", "TypeScript JSX", -22, 0, 0, 0, 0, 0, 0, -2, -24
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\widgets\days\days.tsx", "TypeScript JSX", -117, 0, 0, 0, 0, 0, 0, -9, -126
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\widgets\equity\equity.module.scss", "SCSS", 0, 0, -21, 0, 0, 0, 0, -3, -24
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\widgets\equity\equity.tsx", "TypeScript JSX", -21, 0, 0, 0, 0, 0, 0, -3, -24
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\widgets\notes\notes.tsx", "TypeScript JSX", -64, 0, 0, 0, 0, 0, 0, -7, -71
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\widgets\trades\trades.module.scss", "SCSS", 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\widgets\trades\trades.tsx", "TypeScript JSX", -105, 0, 0, 0, 0, 0, 0, -10, -115
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\inputs\button2.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\inputs\input1.module.scss", "SCSS", 0, 0, -1, 0, 0, 0, 0, 1, 0
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\inputs\input2.tsx", "TypeScript JSX", 19, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\inputs\search1.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\sidebar\sidebar.module.scss", "SCSS", 0, 0, -23, 0, 0, 0, 0, -6, -29
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\topbar\topbar.module.scss", "SCSS", 0, 0, -22, 0, 0, 0, 0, -3, -25
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\topbar\topbar.tsx", "TypeScript JSX", -87, 0, 0, 0, 0, 0, 0, -9, -96
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\constants\path.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 3, 3
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\index.scss", "SCSS", 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\layouts\main.module.scss", "SCSS", 0, 0, -12, 0, 0, 0, 0, -3, -15
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\layouts\main.tsx", "TypeScript JSX", 100, 0, 0, 0, 0, 0, 0, 13, 113
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\calculator\calculator.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 0, -1, 5
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\calender\calender.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\Dashboard.module.scss", "SCSS", 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\Dashboard.tsx", "TypeScript JSX", 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\charts\EquityChart.tsx", "TypeScript JSX", 120, 0, 0, 0, 0, 0, 1, 3, 124
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\components\modals\day.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\components\modals\newTrade.tsx", "TypeScript JSX", 129, 0, 0, 0, 0, 0, 0, 7, 136
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\components\modals\notes.tsx", "TypeScript JSX", 98, 0, 0, 0, 0, 0, 0, 5, 103
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\components\modals\trade.tsx", "TypeScript JSX", 64, 0, 0, 0, 0, 0, 0, 1, 65
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\components\topbar\dashboard.tsx", "TypeScript JSX", 111, 0, 0, 0, 0, 0, 0, 12, 123
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\components\widgets\calculator\calculator.tsx", "TypeScript JSX", 51, 0, 0, 0, 0, 0, 0, 3, 54
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\components\widgets\current\currentDay.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\components\widgets\days\days.tsx", "TypeScript JSX", 117, 0, 0, 0, 0, 0, 0, 9, 126
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\components\widgets\equity\equity.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\components\widgets\notes\notes.tsx", "TypeScript JSX", 93, 0, 0, 0, 0, 0, 0, 8, 101
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\components\widgets\trades\trades.tsx", "TypeScript JSX", 122, 0, 0, 0, 0, 0, 0, 11, 133
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\journal\components\topbar\journal.tsx", "TypeScript JSX", 130, 0, 0, 0, 0, 0, 0, 5, 135
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\journal\journal.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\journal\journal.tsx", "TypeScript JSX", 33, 0, 0, 0, 0, 0, 0, 0, 33
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\news\news.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 0, -1, 5
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\types\user.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 5, 33
"Total", "-", 426, 28, -84, 6, 1, -8, 0, 16, 385